tweet,tweet_clean,label
"jogowargojogonegoro,ayojogojeporo,bersamakitabisa,blue,light,patrol,kepolisian,sektor,jepara,kota,melaksanakan,giat,patroli,cafe,keluarga,potroyudan,kegiatan,dilaksanakan,himbauan,warga,mematuhi,imbauan,pemerintah,mencegah,penyebaran,covid","jogowargojogonegoro,ayojogojeporo,bersamakitabisa,blue,light,patrol,kepolisian,sektor,jepara,kota,melaksanakan,giat,patroli,cafe,keluarga,potroyudan,kegiatan,dilaksanakan,himbauan,warga,mematuhi,imbauan,pemerintah,mencegah,penyebaran,covid",positive
"jogowargojogonegoro,ayojogojeporo,bersamakitabisa,blue,light,patrol,kepolisian,sektor,jepara,kota,melaksanakan,giat,patroli,angkringan,jalan,pemuda,kegiatan,dilaksnakan,himbauan,warga,mematuhi,imbauan,pemerintah,mencegah,penyebaran,covid","jogowargojogonegoro,ayojogojeporo,bersamakitabisa,blue,light,patrol,kepolisian,sektor,jepara,kota,melaksanakan,giat,patroli,angkringan,jalan,pemuda,kegiatan,dilaksnakan,himbauan,warga,mematuhi,imbauan,pemerintah,mencegah,penyebaran,covid",positive
"jogowargojogonegoro,ayojogojeporo,bersamakitabisa,blue,light,patrol,kepolisian,sektor,jepara,kota,melaksanakan,giat,patroli,jalan,veteran,jepara,kegiatan,dilaksanakan,himbauan,warga,mematuhi,imbauan,pemerintah,mencegah,penyebaran,covid","jogowargojogonegoro,ayojogojeporo,bersamakitabisa,blue,light,patrol,kepolisian,sektor,jepara,kota,melaksanakan,giat,patroli,jalan,veteran,jepara,kegiatan,dilaksanakan,himbauan,warga,mematuhi,imbauan,pemerintah,mencegah,penyebaran,covid",positive
"jogowargojogonegoro,ayojogojeporo,bersamakitabisa,blue,light,patrol,kepolisian,sektor,jepara,kota,melaksanakan,giat,patroli,kawasan,sgbk,jepara,kegiatan,dilaksnakan,himbauan,warga,mematuhi,imbauan,pemerintah,mencegah,penyebaran,covid","jogowargojogonegoro,ayojogojeporo,bersamakitabisa,blue,light,patrol,kepolisian,sektor,jepara,kota,melaksanakan,giat,patroli,kawasan,sgbk,jepara,kegiatan,dilaksnakan,himbauan,warga,mematuhi,imbauan,pemerintah,mencegah,penyebaran,covid",positive
"pemerintah,memiliki,grand,design,penanganan,pandemik,covid,implikasinya,bersifat,relatif,terukur,nihil,target,pencapaian","pemerintah,memiliki,grand,design,penanganan,pandemik,covid,implikasinya,bersifat,relatif,terukur,nihil,target,pencapaian",positive
"repost,jokowi,situasinya,bersifat,extraordinary,kecepatan,ketepatan,penanganan,covid,pemerintah,bergerak,cepat,kendati","repost,jokowi,situasinya,bersifat,extraordinary,kecepatan,ketepatan,penanganan,covid,pemerintah,bergerak,cepat,kendati",positive
"rakyat,mengorbankan,pencegahan,penularan,covid,pemerintah,kayak,main,main,kebijakannya","rakyat,mengorbankan,pencegahan,penularan,covid,pemerintah,kayak,main,main,kebijakannya",positive
"kekuranan,pemerintah,covid,amburadol,subjektif,provokatif,duucapkan,akademisi,hayo,coba,golden,standarnya,lawan","kekuranan,pemerintah,covid,amburadol,subjektif,provokatif,duucapkan,akademisi,hayo,coba,golden,standarnya,lawan",positive
"bayangkan,baca,berita,pemerintah,covid,indonesia,hilang,auto,gas,slurrrrr,isi,bensin,full,tank","bayangkan,baca,berita,pemerintah,covid,indonesia,hilang,auto,gas,slurrrrr,isi,bensin,full,tank",positive
"kesini,kendor,pemerintah,menangani,covid,maksimal,sibuk,politik,sibuk,korupsiin,bantuan,sibuk,ego,tau,masyarakatnya,dilepas,dibiarkan,aktivitas,berjalan,normal","kesini,kendor,pemerintah,menangani,covid,maksimal,sibuk,politik,sibuk,korupsiin,bantuan,sibuk,ego,tau,masyarakatnya,dilepas,dibiarkan,aktivitas,berjalan,normal",positive
"berusaha,bikin,orang,orang,freak,menuntut,pemerintah,something,real,menghentikan,sektor,sektor,terdampak,covid,langsung,tau,masanya","berusaha,bikin,orang,orang,freak,menuntut,pemerintah,something,real,menghentikan,sektor,sektor,terdampak,covid,langsung,tau,masanya",positive
"covid,selesai,psbb,dilonggarin,transportasi,direkayasa,rakyat,beraktivitas,normal,ekonomi,berjalan,rakyat,pilih,stay,home,selamat,bingung,deh,pemerintah,rakyat,indonesia,pintar,ya","covid,selesai,psbb,dilonggarin,transportasi,direkayasa,rakyat,beraktivitas,normal,ekonomi,berjalan,rakyat,pilih,stay,home,selamat,bingung,deh,pemerintah,rakyat,indonesia,pintar,ya",positive
"video,conference,gubernur,jawa,timur,inspiring,city,pasuruan,skema,penyaluran,program,jaring,pengaman,sosial,menangani,dampak,covid,disusun,pemerintah,koordinasi","video,conference,gubernur,jawa,timur,inspiring,city,pasuruan,skema,penyaluran,program,jaring,pengaman,sosial,menangani,dampak,covid,disusun,pemerintah,koordinasi",positive
"live,laporan,rabu,mei,ops,ketupat,lodaya,sesuai,anjuran,pemerintah,mudik,nya,tunda,rumah,jaga,kesehatan,mari,putus,rantai,penyebaran,covid","live,laporan,rabu,mei,ops,ketupat,lodaya,sesuai,anjuran,pemerintah,mudik,nya,tunda,rumah,jaga,kesehatan,mari,putus,rantai,penyebaran,covid",positive
"apapun,covid,mei,menurun,poin,pemerintah,action,keterhaluan,dok","apapun,covid,mei,menurun,poin,pemerintah,action,keterhaluan,dok",negative
"pemerintah,menjamin,pengurusan,jenazah,pasien,covid,proses,sesuai,standar,kesehatan,penolakan,pemakaman,jenazah,pasien,covid,ikuti,penelusuran,tim,targetkompastv,live,streaming","pemerintah,menjamin,pengurusan,jenazah,pasien,covid,proses,sesuai,standar,kesehatan,penolakan,pemakaman,jenazah,pasien,covid,ikuti,penelusuran,tim,targetkompastv,live,streaming",positive
"nih,amunisi,menyerang,gubernur,lembut,pemerintah,abai,pekerja,hard,one,cina,got,business,chinas,way,berhubung,covid,tunda,menyerang,cuap,media,gerak,oposisi,ooo,goblok","nih,amunisi,menyerang,gubernur,lembut,pemerintah,abai,pekerja,hard,one,cina,got,business,chinas,way,berhubung,covid,tunda,menyerang,cuap,media,gerak,oposisi,ooo,goblok",negative
"menariknya,proyek,terkini,support,bikin,pelatihan,disability,speakproject,hadir,bantu,teman,teman,terdampak,covid,kerja,pemerintah,kartu,pra,kerja,see,dream,true,also,masyarakat","menariknya,proyek,terkini,support,bikin,pelatihan,disability,speakproject,hadir,bantu,teman,teman,terdampak,covid,kerja,pemerintah,kartu,pra,kerja,see,dream,true,also,masyarakat",positive
"abi,semenjak,puasa,taara,banget,baca,pembaruan,mbak,covid,kebijakan,pemerintah,bikin,nasteung,mending,ulah,nyaho,haha","abi,semenjak,puasa,taara,banget,baca,pembaruan,mbak,covid,kebijakan,pemerintah,bikin,nasteung,mending,ulah,nyaho,haha",positive
"well,first,post,lihat,covid,problema,genting,takut,sebar,kepanikan,sebar,kebaikan,positif,vibes,ikuti,arahan,pemerintah,stay,home,staysafe,dirumahaja,meme,kkndr","well,first,post,lihat,covid,problema,genting,takut,sebar,kepanikan,sebar,kebaikan,positif,vibes,ikuti,arahan,pemerintah,stay,home,staysafe,dirumahaja,meme,kkndr",positive
"abu,abu,pilihan,strategi,dipilih,sadar,pemerintah,jokowi,menghadapi,krisis,kesehatan,ekonomi,akibat,covid,pilihan,kalkulasi,matang,keselamatan,negara,kesatuan,republik,indonesia,grey,color,bad","abu,abu,pilihan,strategi,dipilih,sadar,pemerintah,jokowi,menghadapi,krisis,kesehatan,ekonomi,akibat,covid,pilihan,kalkulasi,matang,keselamatan,negara,kesatuan,republik,indonesia,grey,color,bad",negative
"pemerintah,pakai,istilah,rumit,komunikasi,masyarakat,sosial,distancing,wfh,lockdown,covid,extraordinary,bilang,pemerintah,melawan,covid,ayo,membantu,wabah,bahaya,obatnya,bikin,mati,manusia","pemerintah,pakai,istilah,rumit,komunikasi,masyarakat,sosial,distancing,wfh,lockdown,covid,extraordinary,bilang,pemerintah,melawan,covid,ayo,membantu,wabah,bahaya,obatnya,bikin,mati,manusia",positive
"rt,jokowi,situasinya,extraordinary,kecepatan,ketepatan,menangani,covid,pemerintah,bergerak,cepat,pemerintah,diawasi,dikontrol,lembaga","rt,jokowi,situasinya,extraordinary,kecepatan,ketepatan,menangani,covid,pemerintah,bergerak,cepat,pemerintah,diawasi,dikontrol,lembaga",positive
"jokowi,situasinya,extraordinary,kecepatan,ketepatan,menangani,covid,pemerintah,bergerak,cepat,pemerintah,diawasi,dikontrol,lembaga,lembag","jokowi,situasinya,extraordinary,kecepatan,ketepatan,menangani,covid,pemerintah,bergerak,cepat,pemerintah,diawasi,dikontrol,lembaga,lembag",positive
"rt,jokowi,situasinya,extraordinary,kecepatan,ketepatan,menangani,covid,pemerintah,bergerak,cepat,pemerintah,diawasi,dikontrol,lembaga,lem","rt,jokowi,situasinya,extraordinary,kecepatan,ketepatan,menangani,covid,pemerintah,bergerak,cepat,pemerintah,diawasi,dikontrol,lembaga,lem",positive
"rt,jokowi,situasinya,extraordinary,kecepatan,ketepatan,menangani,covid,pemerintah,bergerak,cepat,pemerintah,diawasi,dikontrol,lembaga","rt,jokowi,situasinya,extraordinary,kecepatan,ketepatan,menangani,covid,pemerintah,bergerak,cepat,pemerintah,diawasi,dikontrol,lembaga",positive
"pemerintah,siapkan,skenario,hidup,normal,pasca,pandemi,covid","pemerintah,siapkan,skenario,hidup,normal,pasca,pandemi,covid",positive
"alamat,covid,selesai,selesai,indon,masyarakatny,egois,aturan,pemerintah,diam,ndeprok,siantar,like,almost,days,dude,everyone,struggle","alamat,covid,selesai,selesai,indon,masyarakatny,egois,aturan,pemerintah,diam,ndeprok,siantar,like,almost,days,dude,everyone,struggle",positive
"menunggu,kepastian,keputusan,pemerintah,menata,kehidupan,job,gnment,menambah,kebingungan,depresi,menghadapi,pandemi,sad,covid,prayforthenation,staysafe","menunggu,kepastian,keputusan,pemerintah,menata,kehidupan,job,gnment,menambah,kebingungan,depresi,menghadapi,pandemi,sad,covid,prayforthenation,staysafe",negative
"hasil,debat,tudingan,konspirasi,corona,erinx,percaya,data,covid,pemerintah,percaya,jokowi,terawan,aduh,sekolah,mahal,mahal,abangku,doktor,hermawansputra,mental,jerinx,anak,buah,bon,gates,sudionotambun","hasil,debat,tudingan,konspirasi,corona,erinx,percaya,data,covid,pemerintah,percaya,jokowi,terawan,aduh,sekolah,mahal,mahal,abangku,doktor,hermawansputra,mental,jerinx,anak,buah,bon,gates,sudionotambun",negative
"situasinya,extraordinary,kecepatan,ketepatan,menangani,covid,pemerintah,bergerak,cepat,pemerintah,diawasi,dikontrol,lembaga,lembaga,negara,masyarakat","situasinya,extraordinary,kecepatan,ketepatan,menangani,covid,pemerintah,bergerak,cepat,pemerintah,diawasi,dikontrol,lembaga,lembaga,negara,masyarakat",positive
"wajar,oposisi,bertentangan,pemerintah,situasi,dimana,warga,negara,indonesia,dunia,memerangi,pandemi,covid,gentle,banget","wajar,oposisi,bertentangan,pemerintah,situasi,dimana,warga,negara,indonesia,dunia,memerangi,pandemi,covid,gentle,banget",positive
"rakyat,berharap,pemerintah,terjesan,mencla,mencle,alias,konsisten,larangan,mudik,pakai,pengecualian,diartikan,fair,covid,cepat,selesai","rakyat,berharap,pemerintah,terjesan,mencla,mencle,alias,konsisten,larangan,mudik,pakai,pengecualian,diartikan,fair,covid,cepat,selesai",positive
"ditengah,pandemi,covid,berharap,warga,masyarakat,mematuhi,himbauan,pemerintah,upaya,memutus,penyebaran,covid,cepat,kehidupan,berangsur,normal","ditengah,pandemi,covid,berharap,warga,masyarakat,mematuhi,himbauan,pemerintah,upaya,memutus,penyebaran,covid,cepat,kehidupan,berangsur,normal",positive
"angka,covid,indonesia,kewalahan,salahkan,pemerintah,haha","angka,covid,indonesia,kewalahan,salahkan,pemerintah,haha",positive
"covid,real,musibah,rakyat,pemerintah,berkah,berkilah,berulah","covid,real,musibah,rakyat,pemerintah,berkah,berkilah,berulah",positive
"pemerintah,menghadapi,pandemi,covid,berani,lock,psbb,wilayah,mengoperasikan,moda,transportasi,hrga,minyak,dunia,terjun,bebas,bahan,bakar,minyak,negeri,turun,mengkonfirmasi,negara,salah,urus,bangkrut","pemerintah,menghadapi,pandemi,covid,berani,lock,psbb,wilayah,mengoperasikan,moda,transportasi,hrga,minyak,dunia,terjun,bebas,bahan,bakar,minyak,negeri,turun,mengkonfirmasi,negara,salah,urus,bangkrut",negative
"positif,covid,ri,mencapai,ribu,fokus,penanganan,negeri,normal,pemerintah,kebijakan,plin,plan,kemarin,bilang,bilang,nya,sih,kemenhub,budikaryas,jokowi","positif,covid,ri,mencapai,ribu,fokus,penanganan,negeri,normal,pemerintah,kebijakan,plin,plan,kemarin,bilang,bilang,nya,sih,kemenhub,budikaryas,jokowi",positive
"pemerintah,sih,digugat,class,action,penanganan,covid,plin,plan,lambat","pemerintah,sih,digugat,class,action,penanganan,covid,plin,plan,lambat",positive
"pemerintah,pusat,serius,memutus,penyebaran,covid,menanggung,beban,pemerintah,daerah,nya,good,point,wakil,wali,kota,bogor","pemerintah,pusat,serius,memutus,penyebaran,covid,menanggung,beban,pemerintah,daerah,nya,good,point,wakil,wali,kota,bogor",positive
"gugus,tugas,absurd,dewan,perwakilan,rakyat,tugas,mengawasi,kinerja,pemerintah,urusan,covid,awasi,ketat,gugus,tugas,pemerintah,rakyat,indonesia,berterima,kasih,dewan,perwakilan,rakyat,mengurus,jamu","gugus,tugas,absurd,dewan,perwakilan,rakyat,tugas,mengawasi,kinerja,pemerintah,urusan,covid,awasi,ketat,gugus,tugas,pemerintah,rakyat,indonesia,berterima,kasih,dewan,perwakilan,rakyat,mengurus,jamu",negative
"ngerinya,pemerintah,kacau,aturan,menebarkan,kekacauan,merebaknya,virus,covid,ri,kondisi,puncak,terpapar,covid,pemerintah,membuka,jalur,transportasi,beroperasi,normal","ngerinya,pemerintah,kacau,aturan,menebarkan,kekacauan,merebaknya,virus,covid,ri,kondisi,puncak,terpapar,covid,pemerintah,membuka,jalur,transportasi,beroperasi,normal",positive
"live,wali,kota,malang,sutiaji,pemerintah,kota,malang,rapid,tes,covid,karyawan,manajemen,pthm,sampoerna,malang,upaya,mengantisipasi,karyawan,pabrik,rokok,terpapar,virus,covid,surabaya","live,wali,kota,malang,sutiaji,pemerintah,kota,malang,rapid,tes,covid,karyawan,manajemen,pthm,sampoerna,malang,upaya,mengantisipasi,karyawan,pabrik,rokok,terpapar,virus,covid,surabaya",positive
"pemerintah,sampah,terkena,asma,kena,covid,haha","pemerintah,sampah,terkena,asma,kena,covid,haha",positive
"lockdown,total,problemnya,pemerintah,sanggup,kasih,full,bantuan,psbb,terbukti,psbb,efektif,kurva,covid,boro,boro,turun,mengalami,kenaikan,cepat,eh,kokbs,menteri,perhubungan,putuskan,pelonggaran,transport,sih,logikanya","lockdown,total,problemnya,pemerintah,sanggup,kasih,full,bantuan,psbb,terbukti,psbb,efektif,kurva,covid,boro,boro,turun,mengalami,kenaikan,cepat,eh,kokbs,menteri,perhubungan,putuskan,pelonggaran,transport,sih,logikanya",positive
"check,great,article,dewan,riau,ajak,masyarakat,ikuti,aturan,covid,pemerintah","check,great,article,dewan,riau,ajak,masyarakat,ikuti,aturan,covid,pemerintah",positive
"tarif,listrik,merasakan,ekonomi,hancur,karyawan,rumahkan,gaji,penghasilan,dmpk,covid,pemerintah,naikan,tarif,listrik,gertiskan,listrik,subsidi,diskon,subsidi,nya,uang,rakya,haha","tarif,listrik,merasakan,ekonomi,hancur,karyawan,rumahkan,gaji,penghasilan,dmpk,covid,pemerintah,naikan,tarif,listrik,gertiskan,listrik,subsidi,diskon,subsidi,nya,uang,rakya,haha",positive
